jvm_short,jvm_descr,jvm_major_version,gc_descr,gc_short,framework,memflag,compl_req,failed_req,req_per_sec,time_per_req_avg,cpus,concurrency,duration
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Spring Boot,-Xmx512m -Xms512m,7830,0,782.65,1.278,4,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Spring Boot,-Xmx512m -Xms512m,8713,0,871.26,1.148,4,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Micronaut,-Xmx512m -Xms512m,6933,0,693.29,1.442,1,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Micronaut,-Xmx512m -Xms512m,5678,0,567.79,1.761,1,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Micronaut,-Xmx512m -Xms512m,6485,0,648.49,1.542,4,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Micronaut,-Xmx512m -Xms512m,5405,0,540.47,1.850,4,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Open Liberty,-Xmx512m -Xms512m,5526,0,552.60,1.810,1,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Open Liberty,-Xmx512m -Xms512m,7953,0,795.30,1.257,1,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Open Liberty,-Xmx512m -Xms512m,5184,0,518.38,1.929,4,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Open Liberty,-Xmx512m -Xms512m,8035,0,803.49,1.245,4,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Spring Boot WebFlux,-Xmx512m -Xms512m,8297,0,829.66,1.205,1,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Spring Boot WebFlux,-Xmx512m -Xms512m,8896,0,889.53,1.124,1,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Spring Boot WebFlux,-Xmx512m -Xms512m,8551,0,853.18,1.172,4,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Spring Boot WebFlux,-Xmx512m -Xms512m,8833,0,883.30,1.132,4,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,No framework,-Xmx512m -Xms512m,68018,0,6801.80,0.147,1,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,No framework,-Xmx512m -Xms512m,59808,0,5980.80,0.167,1,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,No framework,-Xmx512m -Xms512m,63376,0,6337.56,0.158,4,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,No framework,-Xmx512m -Xms512m,59539,0,5953.73,0.168,4,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Vert.x,-Xmx512m -Xms512m,34367,0,3436.69,0.291,1,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Vert.x,-Xmx512m -Xms512m,44958,0,4495.79,0.222,1,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Vert.x,-Xmx512m -Xms512m,34025,0,3402.49,0.294,4,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Vert.x,-Xmx512m -Xms512m,41326,0,4132.60,0.242,4,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Akka,-Xmx128m -Xms128m,2575,0,257.49,3.884,1,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Akka,-Xmx128m -Xms128m,2218,0,221.72,4.510,1,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Akka,-Xmx128m -Xms128m,2519,0,251.89,3.970,4,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Akka,-Xmx128m -Xms128m,2218,0,221.62,4.512,4,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Quarkus,-Xmx128m -Xms128m,5802,0,580.14,1.724,1,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Quarkus,-Xmx128m -Xms128m,12914,0,1291.38,0.774,1,4,10
